10
#n ret_pricer	reprints	num_reprints	gifts	distrib_novelty	tot_points_sale	tot_points_sale_1st_year	weeks_sale	print_run	 total_sales
   25.96	2	212	7	168	87	86	59	338	102
   10.58	0	0	0	17	6	5	73	224	9
   32.69	1	10	0	12	11	10	62	28	16
   23.08	0	0	7	119	50	48	95	195	36
   21.15	1	9	7	87	43	42	64	104	64
   25.00	1	20	7	128	64	55	98	180	106
   21.15	0	0	7	240	60	60	66	532	113
   29.81	0	0	6	133	69	66	179	204	128
   33.65	0	0	7	112	56	51	99	176	102
   33.65	0	0	7	119	63	61	75	140	124
   28.85	1	21	6	88	46	40	115	153	142
   33.65	11	1490	7	244	100	76	153	1740	1686
   19.23	4	44	0	26	18	18	56	51	45
   19.23	4	53	0	39	22	15	146	93	91
   12.40	0	0	6	157	49	45	141	280	97
   26.44	9	289	7	66	44	40	170	517	501
   30.77	3	159	6	122	48	45	171	389	366
   38.46	0	0	6	90	37	34	149	168	38
   52.88	3	109	6	82	58	51	169	139	76
   17.31	0	0	6	82	39	34	103	100	43
   13.46	0	0	6	276	63	61	193	200	36
   24.04	0	0	6	199	72	67	180	325	90
    8.65	0	0	6	385	21	20	126	550	27
    8.65	0	0	6	595	27	26	183	650	42
    8.65	0	0	6	427	27	26	147	375	45
    8.65	0	0	6	395	28	27	200	600	48
    8.65	0	0	7	448	49	45	161	350	27
   11.54	0	0	6	1157	98	93	194	1200	86
    9.62	0	0	6	811	93	85	199	600	90
   21.15	0	0	6	514	65	53	133	450	97
   19.23	0	0	6	254	69	64	185	250	122
   19.23	0	0	6	191	72	61	186	250	154
   19.23	0	0	0	5	5	3	69	10	8
   11.54	0	0	6	214	86	82	138	140	20
   10.34	0	0	7	241	60	58	79	185	66
   14.42	0	0	6	528	67	61	185	1400	69
   19.23	0	0	0	13	8	6	78	42	3
   19.23	0	0	0	12	7	6	51	30	5
   19.23	0	0	0	12	7	7	54	30	6
   48.08	6	764	6	581	232	211	114	1264	1120
   11.54	4	47	6	129	64	57	155	147	29
   14.42	1	4	7	191	48	46	90	404	67
   16.35	1	21	7	194	72	72	60	321	85
   13.46	6	206	6	352	151	139	171	456	156
   13.46	3	29	6	199	69	55	142	279	169
   21.06	3	122	6	329	110	100	133	622	211
   20.19	2	65	7	440	134	129	83	965	330
   18.27	1	3	7	486	186	186	54	883	367
   12.50	9	990	7	584	237	177	130	1790	1377
   13.94	1	27	0	41	29	17	135	57	19
   13.94	1	28	0	43	30	19	134	58	31
   13.94	3	38	0	44	42	28	136	68	53
   13.94	4	103	0	65	34	21	134	133	78
   36.54	1	54	0	51	26	17	134	84	28
    6.63	0	0	0	1	1	1	81	23	1
    6.63	2	30	7	207	89	87	97	230	63
   17.31	0	0	6	347	133	123	131	450	106
   15.38	0	0	7	251	115	113	87	350	121
   11.54	2	614	0	189	104	81	134	644	29
   11.54	1	100	0	152	96	76	136	259	121
   11.54	2	498	0	238	125	84	138	528	135
   11.54	0	0	7	482	139	136	56	1200	147
   11.54	2	396	0	194	118	36	138	426	171
   11.54	0	0	7	504	133	125	88	850	174
   11.54	0	0	7	347	110	99	81	800	177
   11.54	1	100	6	321	129	117	113	950	182
   11.54	7	456	0	183	109	91	135	549	185
   11.54	1	100	6	452	145	129	106	900	235
   11.54	1	100	6	518	156	136	138	950	246
   11.54	1	100	6	417	138	118	105	900	260
   11.54	0	0	8	444	110	104	84	1200	275
   11.54	1	100	6	612	143	127	100	1300	287
   11.54	0	0	7	469	137	131	74	900	295
   11.54	2	342	0	175	130	109	138	372	308
   11.54	0	0	7	468	146	132	91	800	378
   11.54	1	100	6	450	145	126	106	900	404
   11.54	1	100	6	451	152	132	117	1000	413
